Date,AAPL,MSFT,TSLA,AMZN,NVDA
2015-01-31,25.949119567871094,34.358741760253906,13.573332786560059,17.726499557495117,0.4606715440750122
2015-02-28,28.564176559448242,37.5582275390625,13.555999755859375,19.007999420166016,0.5313304662704468
2015-03-31,27.668071746826172,34.82594299316406,12.584667205810547,18.604999542236328,0.5041136741638184
2015-04-30,27.828170776367188,41.660953521728516,15.069999694824219,21.089000701904297,0.534702718257904
2015-05-31,29.089876174926758,40.39719772338867,16.719999313354492,21.46150016784668,0.5354835987091064
2015-06-30,28.00693130493164,38.06095886230469,17.884000778198242,21.704500198364258,0.48660528659820557
2015-07-31,27.08475112915039,40.2592658996582,17.74333381652832,26.8075008392334,0.48273372650146484
2015-08-31,25.29184913635254,37.76525115966797,16.604000091552734,25.644500732421875,0.5462413430213928
2015-09-30,24.74007797241211,38.40740203857422,16.559999465942383,25.594499588012695,0.5989701747894287
2015-10-31,26.803619384765625,45.67928695678711,13.795332908630371,31.295000076293945,0.6893623471260071
2015-11-30,26.648038864135742,47.48106384277344,15.350666999816895,33.2400016784668,0.7736908197402954
2015-12-31,23.710678100585938,48.46824645996094,16.000667572021484,33.794498443603516,0.8039360046386719
2016-01-31,21.926626205444336,48.12753677368164,12.74666690826416,29.350000381469727,0.7144200801849365
2016-02-29,21.89840316772461,44.76875686645508,12.795332908630371,27.625999450683594,0.767696738243103
2016-03-31,24.684106826782227,48.596275329589844,15.317999839782715,29.68199920654297,0.8722268342971802
2016-04-30,21.230283737182617,43.88005828857422,16.05066680908203,32.97949981689453,0.8697788119316101
2016-05-31,22.754039764404297,46.96030807495117,14.881999969482422,36.13949966430664,1.1466816663742065
2016-06-30,21.783361434936523,45.338829040527344,14.152000427246094,35.78099822998047,1.1537988185882568
2016-07-31,23.74522590637207,50.22092819213867,15.652667045593262,37.94049835205078,1.4014445543289185
2016-08-31,24.30684471130371,51.229373931884766,14.133999824523926,38.45800018310547,1.508284330368042
2016-09-30,25.899045944213867,51.35418701171875,13.60200023651123,41.865501403808594,1.68483304977417
2016-10-31,26.011301040649414,53.4226188659668,13.182000160217285,39.49100112915039,1.749747633934021
2016-11-30,25.449438095092773,54.088687896728516,12.626667022705078,37.528499603271484,2.2704918384552
2016-12-31,26.66986656188965,55.77616882324219,14.246000289916992,37.493499755859375,2.6285510063171387
2017-01-31,27.94326400756836,58.029109954833984,16.795333862304688,41.17399978637695,2.68863844871521
2017-02-28,31.68143653869629,57.7758903503418,16.666000366210938,42.25199890136719,2.502173900604248
2017-03-31,33.2239990234375,59.47357940673828,18.553333282470703,44.32699966430664,2.6858668327331543
2017-04-30,33.22168731689453,61.82145309448242,20.937999725341797,46.2495002746582,2.5717062950134277
2017-05-31,35.47437286376953,63.429141998291016,22.733999252319336,49.73099899291992,3.562960147857666
2017-06-30,33.44474411010742,62.602684020996094,24.107332229614258,48.400001525878906,3.568143844604492
2017-07-31,34.538509368896484,66.026611328125,21.564666748046875,49.388999938964844,4.011199474334717
2017-08-31,38.23411560058594,68.26839447021484,23.726667404174805,49.029998779296875,4.185931205749512
2017-09-30,35.93074035644531,68.0127182006836,22.739999771118164,48.067501068115234,4.416427135467529
2017-10-31,39.40910720825195,75.94709777832031,22.101999282836914,55.263999938964844,5.109140396118164
2017-11-30,40.208251953125,77.23696899414062,20.59000015258789,58.837501525878906,4.961887359619141
2017-12-31,39.59523010253906,78.49412536621094,20.75666618347168,58.4734992980957,4.78364372253418
2018-01-31,39.174095153808594,87.1841049194336,23.62066650390625,72.54450225830078,6.0765886306762695
2018-02-28,41.84516143798828,86.45044708251953,22.87066650390625,75.62249755859375,5.986364841461182
2018-03-31,39.41602325439453,84.14558410644531,17.742000579833984,72.36699676513672,5.728850841522217
2018-04-30,38.824012756347656,86.21996307373047,19.593332290649414,78.30650329589844,5.563361167907715
2018-05-31,44.070072174072266,91.51964569091797,18.98200035095215,81.48100280761719,6.242292404174805
2018-06-30,43.65499496459961,91.30667877197266,22.863332748413086,84.98999786376953,5.863829612731934
2018-07-31,44.87661361694336,98.22343444824219,19.875999450683594,88.87200164794922,6.060858249664307
